Congress,Commitee,Agency,Count
109,321,Federal Communications Commission,12
109,321,National Science Foundation,5
109,321,Executive Office of the President,2
109,321,United States Geological Survey,2
109,321,National Oceanic and Atmospheric Administration,9
109,321,Transportation Security Administration,5
109,321,United States Coast Guard,6
109,321,Federal Aviation Administration,12
109,321,Department of Transportation,27
109,321,Consumer Product Safety Commission,4
109,321,National Aeronautics and Space Administration,3
109,321,Federal Railroad Administration,2
109,321,Federal Motor Carrier Safety Administration,2
109,321,National Highway Traffic Safety Administration,1
109,321,Pipeline and Hazardous Materials Safety Administration,1
109,321,Energy Information Administration,1
109,321,Department of Commerce,25
109,321,Department of the Interior,4
109,321,National Transportation Safety Board,6
109,321,Federal Trade Commission,12
109,321,National Telecommunications and Information Administration,1
109,321,Department of Homeland Security,8
109,435,Indian Health Service,2
109,435,Substance Abuse and Mental Health Services Administration,2
109,435,Office of Policy,1
109,321,Department of Agriculture,2
109,321,Federal Bureau of Investigation,1
109,321,Department of Justice,2
108,124,National Labor Relations Board,2
109,321,Saint Lawrence Seaway Development Corporation,2
109,321,Department of Energy,2
109,321,Department of State,1
109,321,Department of Health and Human Services,2
109,321,Council on Environmental Quality,2
109,321,Department of Education,1
108,124,Federal Bureau of Investigation,1
109,321,Department of Veterans Affairs,1
109,321,Agency for Healthcare Research and Quality,2
109,321,Bureau of Consular Affairs,1
109,321,Centers for Disease Control and Prevention,1
109,321,Maritime Administration,1
109,321,Surface Transportation Board,2
109,321,National Institute of Standards and Technology,1
109,321,Corporation for Public Broadcasting,1
109,321,Office of Science and Technology,1
109,321338,Department of the Interior,1
109,321338,National Science Foundation,1
109,321338,United States Coast Guard,1
109,321338,Centers for Disease Control and Prevention,1
109,330,Energy Information Administration,1
109,330,Minerals Management Service,1
109,330,Department of Transportation,2
109,330,Federal Energy Regulatory Commission,5
109,330,United States Geological Survey,2
109,330,Bureau of Land Management,8
109,330,United States Coast Guard,1
109,330,Department of Energy,20
109,330,Department of Agriculture,21
109,330,"Assistant Secretary for Policy, Management and Budget",3
109,330,Department of the Interior,29
109,435,Department of Education,7
109,330,Department of Defense,1
109,330,Department of Commerce,1
109,330,National Capital Planning Commission,2
109,330,National Park Service,5
109,330,Bureau of Reclamation,6
109,435,Department of Housing and Urban Development,6
109,435,Department of Health and Human Services,7
109,330,Department of Health and Human Services,1
109,330,Advisory Council on Historic Preservation,2
108,128,National Telecommunications and Information Administration,1
108,128251,Department of Health and Human Services,2
109,330,Department of Labor,1
109,330,Agricultural Research Service,1
109,330,Environmental Protection Agency,3
109,330,Forest Service,1
109,330,Assistant Secretary for Land and Minerals Management,1
109,330,Department of State,1
109,330,Nuclear Regulatory Commission,1
109,330,Department of Justice,1
109,332,Environmental Protection Agency,27
109,332,Nuclear Regulatory Commission,6
109,332,United States Army Corps of Engineers,9
109,332,United States Fish and Wildlife Service,3
109,332,Department of the Interior,2
109,332,Council on Environmental Quality,2
109,332,Natural Resources Conservation Service,1
109,332,Federal Bureau of Investigation,2
108,104196,Social Security Administration,1
108,104196,General Accounting Office,1
109,332,Department of Transportation,1
109,332,Economic Development Administration,1
109,332,Tennessee Valley Authority,6
109,332,Department of State,1
109,332,Small Business Administration,1
109,332,Appalachian Regional Commission,2
109,332,Department of Energy,1
109,332,Federal Highway Administration,1
109,332,Mississippi River Commission,1
109,332,Department of Homeland Security,2
108,128,Centers for Disease Control and Prevention,4
108,128,Food and Drug Administration,15
109,332,Department of Agriculture,1
109,338,Department of State,38
109,338,United States Agency for International Development,6
109,338,Department of Defense,5
109,338,Asian Development Bank,1
109,338,European Bank for Reconstruction and Development,1
109,338,Millennium Challenge Corporation,1
109,338,Department of Homeland Security,4
109,338,Bureau of Consular Affairs,2
109,338,Department of the Treasury,3
109,338,United Nations,8
109,338,Department of Energy,3
109,338,Department of Justice,3
109,338,Arms Control and International Security,2
108,128,Health Resources and Services Administration,1
109,338,Department of Health and Human Services,1
109,338,Centers for Disease Control and Prevention,2
108,128,Public Health Service,1
108,128,Department of State,4
108,128,Department of Agriculture,3
109,338,Department of Labor,1
109,338,Executive Office of the President,1
109,338,Office of the Director of National Intelligence,1
109,338,Council on Environmental Quality,1
108,128,Federal Reserve,2
109,338,Department of Housing and Urban Development,1
109,362,Department of Homeland Security,1
109,362,Department of Health and Human Services,2
109,362,Department of Defense,1
109,362,Department of Education,2
109,344,Office of Personnel Management,14
109,344,Department of Homeland Security,57
109,344,Office of Management and Budget,24
109,344,United Nations,7
109,344,Chemical Safety and Hazard Investigation Board,2
109,344,United States Postal Service,7
109,344,Office of Special Counsel,2
109,344,Department of Defense,23
109,344,United States Agency for International Development,3
109,344,Federal Trade Commission,1
109,344,Securities and Exchange Commission,1
109,344,National Aeronautics and Space Administration,1
109,344,Department of Commerce,6
109,344,Environmental Protection Agency,3
109,344,Department of Health and Human Services,11
109,344,United States Coast Guard,6
109,344,Department of the Treasury,7
109,344,General Services Administration,8
109,344,Federal Labor Relations Authority,2
109,344,Merit Systems Protection Board,1
109,344,Centers for Medicare and Medicaid Services,3
109,344,Defense Finance and Accounting Service,1
109,344,United States Patent and Trademark Office,2
109,344,Department of Justice,8
108,128,Bureau of Customs and Border Protection,1
109,344,Federal Bureau of Investigation,2
109,344,Department of State,4
109,344,Bureau of Consular Affairs,1
109,344,Federal Deposit Insurance Corporation,1
109,344,Federal Energy Regulatory Commission,1
109,344,Federal Emergency Management Agency,4
109,344,Centers for Disease Control and Prevention,2
109,344,Department of Agriculture,2
109,344,Office of the United States Trade Representative,1
109,344,Small Business Administration,1
109,344,Department of the Interior,1
109,344,Department of Education,2
109,344,National Science Foundation,2
109,344,National Nuclear Security Administration,1
109,344,United States Customs and Border Protection,1
109,344,Administration for Children and Families,1
109,344,Department of Housing and Urban Development,4
109,344,Department of Veterans Affairs,4
109,344,Department of Transportation,4
109,344,United States Army Corps of Engineers,2
109,344,Office of Government Ethics,1
109,344,Central Intelligence Agency,1
109,344,Department of Labor,3
109,344,Internal Revenue Service,4
109,358,Secret Service,1
109,358,Federal Bureau of Investigation,1
109,358,Federal Trade Commission,6
109,344,Social Security Administration,1
109,344,National Guard Bureau,1
109,344,Department of the Navy,1
109,344,Financial Crimes Enforcement Network,1
108,124,Federal Reserve,1
109,344,United States Census Bureau,1
109,344,Bureau of Prisons,1
109,435,Office of Navajo and Hopi Indian Relocation,2
109,435,Federal Election Commission,1
109,358,Department of Homeland Security,17
108,128156,Library of Congress,1
109,358,Department of Justice,39
108,124173,Department of Education,1
108,124173,Department of Transportation,2
108,124173,Department of Labor,1
108,124173,Department of Health and Human Services,1
108,124173,General Accounting Office,1
109,358,Department of Health and Human Services,2
109,358,Department of Labor,2
109,358,United States Patent and Trademark Office,2
109,358,Bureau of Consular Affairs,1
109,358,Department of Defense,4
109,358,Civil Rights Division,2
109,384,Small Business Administration,9
109,358,Department of Education,1
109,358,Department of the Navy,1
109,358,Commission on Civil Rights,3
109,358,Securities and Exchange Commission,9
109,358,Department of State,1
109,358,Department of Energy,1
109,384,Department of Labor,1
108,124,Department of the Treasury,2
108,124,Department of Labor,6
109,358,Joint Chiefs of Staff,1
109,358,Department of Commerce,1
109,358,Office of the United States Trade Representative,1
109,358,Bureau of Prisons,1
109,358,Library of Congress,2
109,358,Central Intelligence Agency,1
109,358,Department of Housing and Urban Development,1
109,358,Social Security Administration,1
109,384,Department of Homeland Security,1
109,384,Department of the Army,1
109,388,Department of Defense,5
109,388,Department of Veterans Affairs,40
109,388,Social Security Administration,1
109,388,Department of Labor,4
109,388,Board of Veterans Appeals,1
109,388,Veterans Benefits Administration,1
109,316,Federal Reserve,1
109,316,Office of Management and Budget,1
109,316,Department of Justice,1
108,104115,Department of State,1
108,104164,Library of Congress,1
108,104164,Department of the Interior,2
108,104,General Accounting Office,1
108,104,Department of State,1
108,104,Federal Bureau of Investigation,1
108,104,Department of Energy,1
108,104,Department of Homeland Security,1
108,104156,Department of Homeland Security,1
108,104128,General Accounting Office,1
108,104128,Department of Energy,1
108,104128,Nuclear Regulatory Commission,1
108,104128,Environmental Protection Agency,1
108,104164,General Accounting Office,1
108,104164,Department of Agriculture,1
108,104156,Administrative Conference of the United States,1
108,104182,Department of Homeland Security,1
108,124,Department of Health and Human Services,1
108,124,Pension Benefit Guaranty Corporation,1
108,124,Agricultural Marketing Service,1
108,124,Department of Agriculture,2
108,124,Centers for Disease Control and Prevention,1
108,128,Nuclear Regulatory Commission,2
108,128,Office of Government Ethics,1
108,128,Centers for Medicare and Medicaid Services,3
108,128,Department of Education,2
108,128,United States Customs and Border Protection,1
108,128,Securities and Exchange Commission,1
108,128,Department of Transportation,2
108,128,Department of Veterans Affairs,1
108,128,Agency for Healthcare Research and Quality,1
108,128,Social Security Administration,1
108,128,Consumer Product Safety Commission,2
108,113,General Accounting Office,10
108,113,Securities and Exchange Commission,14
108,113,Federal Deposit Insurance Corporation,7
108,113,Federal Emergency Management Agency,1
108,113,Department of Housing and Urban Development,17
108,113,Department of Agriculture,3
108,113,Department of the Treasury,30
108,113,Bureau of Immigration and Customs Enforcement,2
108,113,Department of Justice,2
108,113,Department of Commerce,2
108,113,Department of Homeland Security,5
108,113,Department of Defense,2
108,113,Office of Thrift Supervision,2
108,113,National Credit Union Administration,3
108,113,Federal Trade Commission,4
108,113,Secret Service,3
108,113,Department of State,6
108,113,United States Agency for International Development,1
108,113,Federal Bureau of Investigation,2
108,113,Inter-American Foundation,1
108,113,Office of Federal Housing Enterprise Oversight,3
108,113,Department of the Interior,1
108,113,Export-Import Bank of the United States,1
108,113,Internal Revenue Service,1
108,164,Department of State,4
108,164,Department of Commerce,15
108,138,Office of National Drug Control Policy,12
108,138,General Accounting Office,97
108,138,Department of Homeland Security,48
108,138,Nuclear Regulatory Commission,3
108,138,United States Fish and Wildlife Service,1
108,138,National Park Service,3
108,138,United States Customs Service,1
108,138,Office of Management and Budget,48
108,138,Department of Energy,17
108,138,General Services Administration,14
108,138,Bureau of Immigration and Customs Enforcement,3
108,138,Department of Defense,42
108,138,Department of Veterans Affairs,6
108,138,Department of Agriculture,9
108,138,Federal Trade Commission,5
108,138,Food and Drug Administration,11
108,138,Defense Finance and Accounting Service,3
108,138,Office of Personnel Management,20
108,138,Department of Transportation,8
108,138,Department of Health and Human Services,23
108,138,Department of State,33
108,138,United States Agency for International Development,7
108,138,Federal Energy Regulatory Commission,2
108,138,Department of the Treasury,11
108,138,Department of Commerce,10
108,138,Drug Enforcement Administration,14
108,138,Department of Justice,18
108,138,Federal Bureau of Investigation,8
108,138,Bureau of Customs and Border Protection,4
108,138,Small Business Administration,7
108,138,Centers for Disease Control and Prevention,9
108,138,National Aeronautics and Space Administration,4
108,138,Securities and Exchange Commission,3
108,138,Transportation Security Administration,2
108,138,Internal Revenue Service,3
108,138,Department of Education,7
108,138,United States Census Bureau,2
108,138251,Bureau of Customs and Border Protection,2
108,138251,United States Coast Guard,1
108,138251,Bureau of Immigration and Customs Enforcement,1
108,138251,Drug Enforcement Administration,1
108,138,United States Postal Service,4
108,138,Occupational Safety and Health Administration,2
108,138,National Oceanic and Atmospheric Administration,2
108,138,National Institutes of Health,4
108,138,Federal Emergency Management Agency,3
108,138,Financial Management Service,1
108,138,Bureau of Consular Affairs,1
108,138,Department of the Interior,4
108,138,National Archives and Records Administration,2
108,138,Federal Retirement Thrift Investment Board,1
108,138,Department of Labor,3
108,138,Court Services and Offender Supervision Agency,1
108,138,Administration and Resources Management,1
108,138,Office of Science and Technology,1
108,138,Federal Reserve,1
108,138,Environmental Protection Agency,16
108,138,United States Patent and Trademark Office,1
108,138,Social Security Administration,3
108,138,Equal Employment Opportunity Commission,1
108,138,Public Health Service,1
108,138,Federal Communications Commission,5
108,164,Bureau of Reclamation,10
108,138,Broadcasting Board of Governors,1
108,164,Advisory Council on Historic Preservation,1
108,164,Assistant Secretary for Land and Minerals Management,3
108,138,United States Army Corps of Engineers,2
108,138,Defense Contract Audit Agency,2
108,138,National Science Foundation,2
108,138,Substance Abuse and Mental Health Services Administration,1
108,138,National Guard Bureau,2
108,138,Bureau of Indian Affairs,1
108,138,Centers for Medicare and Medicaid Services,1
108,138,Federal Aviation Administration,1
108,138,Joint Chiefs of Staff,1
108,138,Executive Office of the President,1
108,138,National Institute of Standards and Technology,1
108,138,Civil Rights Division,1
108,138,Administration for Children and Families,1
108,138,Federal Deposit Insurance Corporation,1
108,138,Department of the Army,2
108,-,Department of Homeland Security,5
108,138,"Bureau of Alcohol, Tobacco and Firearms",1
108,138,United States Geological Survey,1
108,138,Secret Service,1
108,138,Federal Transit Administration,1
108,251,Department of Homeland Security,34
108,164,Department of Agriculture,19
108,142,General Accounting Office,1
108,142,Government Printing Office,1
108,164,Bureau of Land Management,12
108,164,Department of Defense,1
108,164,United States Army Corps of Engineers,3
108,164,Department of the Army,1
108,164,Department of the Air Force,1
108,164,Department of Homeland Security,1
108,164,Federal Reserve,1
108,164,Animal and Plant Health Inspection Service,2
108,164,Environmental Protection Agency,3
108,164,Forest Service,2
108,164,General Accounting Office,3
108,164,National Park Service,1
108,164,Bureau of Customs and Border Protection,1
108,164,United States Coast Guard,1
108,164,United States Geological Survey,2
108,164,Indian Health Service,1
108,164,Bureau of Indian Affairs,3
108,164,Federal Emergency Management Agency,1
108,164,Department of Energy,1
108,164,National Science Foundation,1
108,182,National Science Foundation,8
108,182,Office of Science and Technology,3
108,182,Department of Commerce,3
108,182,National Aeronautics and Space Administration,6
108,182,Federal Aviation Administration,1
108,182,Department of Transportation,2
108,182,General Accounting Office,4
108,182,Bureau of Transportation Statistics,1
108,182,Department of Homeland Security,7
108,182,Defense Advanced Research Projects Agency,1
108,182,National Institute of Standards and Technology,1
108,182,United States Geological Survey,1
108,182,Department of Education,1
108,182,Small Business Administration,1
108,182,Department of Health and Human Services,1
108,182,Executive Office of the President,2
108,182,Federal Bureau of Investigation,1
108,182,Department of State,1
108,182,Office of Management and Budget,1
108,182,Environmental Protection Agency,4
108,182,Department of Defense,1
108,184,Small Business Administration,22
108,184,Department of Labor,3
108,184,Department of Housing and Urban Development,2
108,184,Department of Commerce,8
108,184,Office of Management and Budget,3
108,184,Department of the Treasury,2
108,184,General Accounting Office,2
108,184,General Services Administration,1
108,184,Internal Revenue Service,2
108,184,Federal Bureau of Investigation,1
108,184,Department of State,1
108,184,Department of Defense,4
108,184,Department of Transportation,3
108,184,Department of Energy,1
108,184,Department of the Interior,2
107,128,Federal Trade Commission,10
108,184,Overseas Private Investment Corporation,1
108,184,Export-Import Bank of the United States,1
108,184,Department of Agriculture,1
108,184,Federal Reserve,1
107,128,Department of Commerce,10
107,128,Federal Communications Commission,7
107,128,Department of Defense,4
108,184,Federal Communications Commission,1
108,184,Department of Homeland Security,1
108,184,Federal Trade Commission,1
108,196,Internal Revenue Service,13
108,196,Department of the Treasury,10
108,184,Environmental Protection Agency,2
108,184,United States Fish and Wildlife Service,1
106,128,Federal Trade Commission,10
106,128,Department of Energy,53
106,128,Securities and Exchange Commission,15
108,196,Office of the United States Trade Representative,5
108,184,Employment and Training Administration,1
108,196,Department of Health and Human Services,7
108,184,Department of Veterans Affairs,1
108,196,General Accounting Office,19
108,196,Department of Labor,5
108,196,Centers for Medicare and Medicaid Services,3
108,196,Social Security Administration,18
107,128,Department of Health and Human Services,24
107,128,Environmental Protection Agency,17
107,128,General Accounting Office,29
108,196,Office of Management and Budget,2
107,128,Drug Enforcement Administration,2
108,196,Department of Justice,1
108,196,Social Security Advisory Board,2
108,196,United States International Trade Commission,1
107,128,Department of Energy,20
107,128,Federal Energy Regulatory Commission,22
108,196,Federal Trade Commission,2
108,196,Agency for Healthcare Research and Quality,1
108,196,Department of Education,1
107,128,National Institutes of Health,1
107,128,Centers for Medicare and Medicaid Services,4
108,196,Department of Veterans Affairs,1
108,196,Department of Homeland Security,2
108,115,Office of Management and Budget,3
108,115,Department of the Treasury,2
108,115,Department of Transportation,2
108,156,Library of Congress,7
106,128,Food and Drug Administration,10
106,128,Drug Enforcement Administration,1
106,128,National Institutes of Health,4
108,115,Department of Health and Human Services,3
108,115,Department of Defense,2
108,115,General Accounting Office,1
108,115,Department of Agriculture,1
108,115,Department of Education,2
108,115,Department of Veterans Affairs,1
108,115,Federal Reserve,2
108,156,Department of Homeland Security,15
107,128,Federal Emergency Management Agency,1
107,128,Public Health Service,2
107,128,Department of Justice,3
108,156,Department of Justice,16
108,156,Federal Communications Commission,3
108,156,Executive Office for United States Attorneys,1
108,156,Department of Labor,1
108,156,General Accounting Office,4
108,251,Bureau of Reclamation,1
108,156,Civil Rights Division,2
107,128,National Telecommunications and Information Administration,2
107,128,United States Geological Survey,1
108,156,Bureau of Customs and Border Protection,2
108,156,Bureau of Immigration and Customs Enforcement,2
107,128,Centers for Disease Control and Prevention,3
108,156,Federal Bureau of Investigation,3
108,251156,Department of Justice,1
108,251156,Department of Homeland Security,1
108,156,Secret Service,1
108,242156251,Federal Bureau of Investigation,1
108,242156251,Department of Homeland Security,1
108,156,Legal Services Corporation,1
108,156,Department of State,2
108,251,General Accounting Office,4
108,251,Bureau of Immigration and Customs Enforcement,2
108,251,Transportation Security Administration,1
108,251,Bureau of Customs and Border Protection,5
108,156,United States Patent and Trademark Office,1
108,156,Department of Defense,1
108,251,National Institutes of Health,1
108,251,Department of Health and Human Services,4
108,251,United States Coast Guard,1
108,251,Federal Bureau of Investigation,2
108,251,Central Intelligence Agency,2
108,251,Department of Justice,2
108,251,Office of Management and Budget,1
108,251,Bureau of Consular Affairs,1
108,251,Federal Communications Commission,1
108,251,United States Geological Survey,1
108,-,National Aeronautics and Space Administration,1
108,-,Office of Personnel Management,2
108,-,General Accounting Office,5
108,-,United States Postal Service,2
108,-,Department of the Treasury,1
108,305,Department of Agriculture,15
108,305,Federal Agricultural Mortgage Corporation,3
108,305,Department of Health and Human Services,1
108,305,Department of Energy,1
108,305,Environmental Protection Agency,1
108,305,Department of the Interior,1
108,306330,Department of Energy,2
108,306330,General Services Administration,1
108,306362,National Endowment for the Humanities,1
108,306362,Department of Education,1
108,306362,Library of Congress,1
108,306330,General Accounting Office,2
108,306330,Department of the Interior,1
107,128,Securities and Exchange Commission,3
107,128,Tennessee Valley Authority,1
108,306,Department of Health and Human Services,18
108,306,Department of Education,2
108,306,Centers for Disease Control and Prevention,4
108,314,Department of Justice,2
108,314,General Accounting Office,5
108,314,Federal Deposit Insurance Corporation,7
108,306,Department of Labor,7
108,321,United States Coast Guard,4
108,321,Department of State,1
108,321,Department of Commerce,12
108,306,Department of Transportation,4
108,321,Federal Motor Carrier Safety Administration,2
108,306,Centers for Medicare and Medicaid Services,3
108,321,Department of Transportation,27
108,306338,Office of Management and Budget,1
108,306338,Department of Defense,1
108,306332,Environmental Protection Agency,3
108,306,Department of State,1
108,306,United States Institute of Peace,1
108,321,National Aeronautics and Space Administration,15
108,306,Department of Defense,3
108,306,General Accounting Office,3
108,306,Nuclear Regulatory Commission,1
108,306332,United States Army Corps of Engineers,1
108,306,National Labor Relations Board,4
108,332,Nuclear Regulatory Commission,5
108,306,Office of Management and Budget,1
108,306,Office of Government Ethics,1
108,332,Federal Highway Administration,1
108,306,National Oceanic and Atmospheric Administration,1
108,332,Department of Energy,2
108,332,Environmental Protection Agency,12
108,306,Department of Homeland Security,1
108,306314,Federal Bureau of Investigation,1
108,306314,Department of State,1
108,306314,Department of the Treasury,1
108,306,United States Army Corps of Engineers,2
108,306,Federal Emergency Management Agency,2
108,306,Department of Housing and Urban Development,1
108,306,Department of Commerce,1
108,306321,Department of Transportation,2
108,306321,General Accounting Office,1
108,306321,Department of Commerce,1
108,306321,Corporation for Public Broadcasting,1
108,308,United Nations,4
108,308,Department of Defense,11
108,308,Missile Defense Agency,2
108,308,Department of Energy,6
108,308,General Accounting Office,4
108,308,Environmental Protection Agency,1
108,308,Department of the Interior,1
108,308,National Oceanic and Atmospheric Administration,1
108,308,Department of the Army,3
108,308,National Guard Bureau,2
108,308,Library of Congress,1
108,308,National Nuclear Security Administration,6
108,308,Department of the Navy,1
108,308,Joint Chiefs of Staff,4
108,308,United States Army Corps of Engineers,1
107,128,Office of Management and Budget,2
107,128,Department of Transportation,4
107,128,Food and Drug Administration,15
108,308,Department of the Air Force,2
107,128,National Transportation Safety Board,1
108,308362,Department of Defense,1
108,308362,Department of Education,1
108,308,Veterans Health Administration,1
107,128,Department of Agriculture,2
108,308,National Security Education Board,1
108,308,Defense Nuclear Facilities Safety Board,1
107,128,Office of Water,2
108,314,Department of the Treasury,15
108,314,Department of Agriculture,1
108,314,Federal Reserve,12
107,128,Nuclear Regulatory Commission,4
108,314,Department of Housing and Urban Development,4
108,314,Department of Commerce,2
108,314,Export-Import Bank of the United States,2
108,314,Overseas Private Investment Corporation,1
108,314,Small Business Administration,1
108,314,Trade and Development Agency,1
108,314,Federal Transit Administration,1
108,314,Department of Transportation,4
108,321,Department of Homeland Security,11
108,314,Securities and Exchange Commission,10
108,314,National Institutes of Health,1
108,314,Department of Homeland Security,2
108,314,Department of Defense,2
108,314,Department of Energy,1
108,314,Office of Thrift Supervision,3
108,314,Department of State,2
108,314,Office of Federal Housing Enterprise Oversight,1
106,128,Federal Communications Commission,32
107,128,General Services Administration,2
108,314,National Credit Union Administration,1
108,314,Office of the Comptroller of the Currency,1
108,321,Food and Drug Administration,3
108,321,Transportation Security Administration,3
108,321,Federal Aviation Administration,6
108,321,Department of Energy,2
108,321,Office of Science and Technology,1
108,321,General Accounting Office,15
108,321,Environmental Protection Agency,1
107,128,Agency for Healthcare Research and Quality,1
108,321,Federal Trade Commission,9
108,321,Department of the Treasury,1
108,321,Federal Communications Commission,26
108,321,National Highway Traffic Safety Administration,3
108,321,Corporation for Public Broadcasting,4
108,321,Federal Maritime Commission,3
108,321,Saint Lawrence Seaway Development Corporation,2
108,321,Consumer Product Safety Commission,5
108,321,Department of Agriculture,3
108,321,Federal Railroad Administration,2
108,321,Surface Transportation Board,1
108,321,Department of the Interior,1
107,128,National Nuclear Security Administration,2
107,128,Department of Homeland Security,1
107,128,United States Customs Service,3
107,128,United States Postal Service,1
108,321,Department of Health and Human Services,1
108,321,Executive Office of the President,1
108,321,National Transportation Safety Board,2
108,330,Forest Service,6
108,330,Department of Agriculture,22
108,321,Federal Bureau of Investigation,1
108,321,Federal Transit Administration,1
107,128,Corporation for Public Broadcasting,1
108,321,Council on Environmental Quality,1
108,330,Department of the Interior,35
108,330,Department of Energy,17
108,330,Energy Information Administration,1
108,330,Bureau of Land Management,10
108,330,Department of Transportation,1
108,330,Department of Commerce,1
108,330,Federal Energy Regulatory Commission,3
108,330,Bureau of Reclamation,5
108,330,National Park Service,5
108,330,"Assistant Secretary for Policy, Management and Budget",3
107,128,Office of Policy,1
108,330,Assistant Secretary for Land and Minerals Management,2
108,330,Department of Defense,1
108,330,Department of State,2
108,330,General Accounting Office,7
107,128,Consumer Product Safety Commission,1
108,330,Office of Management and Budget,1
108,330,Environmental Protection Agency,1
108,330,Department of Labor,2
107,128,Department of the Treasury,1
108,330,Tennessee Valley Authority,1
108,330,Nuclear Regulatory Commission,1
108,330,United States Army Corps of Engineers,1
108,330,National Oceanic and Atmospheric Administration,1
108,330,Advisory Council on Historic Preservation,2
107,164,Bureau of Land Management,18
107,164,Department of the Interior,76
108,330,National Nuclear Security Administration,1
108,330,Federal Aviation Administration,1
107,164,Department of Commerce,32
107,164,Department of Agriculture,40
108,332,General Accounting Office,4
108,332,Department of the Interior,5
108,332,Department of Transportation,5
108,332,Mississippi River Commission,1
108,332,Tennessee Valley Authority,2
108,332,Department of Justice,1
108,332,Department of the Army,1
108,332,United States Fish and Wildlife Service,1
108,332,United States Coast Guard,1
106,128,Federal Energy Regulatory Commission,17
106,128,Department of Justice,14
108,332,United States Army Corps of Engineers,2
108,332,Bureau of Reclamation,1
108,332,Department of Agriculture,3
108,332,Animal and Plant Health Inspection Service,1
108,332,Department of Health and Human Services,2
108,332,Assistant Secretary for Land and Minerals Management,1
108,332,Administration and Resources Management,1
108,332,Department of State,1
108,332,Chemical Safety and Hazard Investigation Board,1
108,332,Economic Development Administration,1
107,164,General Accounting Office,5
108,338,Department of State,79
108,338,Department of the Treasury,7
108,338,United Nations,8
108,338,Department of Defense,13
108,338,Office of the United States Trade Representative,3
108,338,General Accounting Office,4
108,338,United States Agency for International Development,23
108,338,Federal Bureau of Investigation,3
108,338,Department of Energy,5
108,338,Department of Agriculture,2
106,128,Environmental Protection Agency,25
106,128,General Accounting Office,29
108,338,United States Institute of Peace,2
108,338,Bureau of Consular Affairs,2
108,338358,United States Institute of Peace,1
108,338,Department of Commerce,2
106,128,Department of State,2
108,338,Bureau of International Narcotics and Law Enforcement Affairs,1
108,338,Department of Homeland Security,3
108,338,Bureau of Citizenship and Immigration Services,1
108,338,Peace Corps,2
108,338,Defense Contract Audit Agency,1
108,338,Centers for Disease Control and Prevention,1
106,128,Federal Reserve,4
106,128,Department of the Treasury,5
108,338,Small Business Administration,1
108,338,Broadcasting Board of Governors,3
106,128,Agency for Health Care Policy and Research,2
108,338,Arms Control and International Security,1
108,338,Bureau of Customs and Border Protection,1
108,338,Department of Justice,1
108,338,Millennium Challenge Corporation,1
108,344,National Aeronautics and Space Administration,2
108,344,Department of Homeland Security,17
106,128,Department of Commerce,10
106,128,Department of Defense,1
108,344,United States Postal Service,4
108,344,Office of Management and Budget,8
108,344,Federal Bureau of Investigation,6
108,344,Central Intelligence Agency,5
108,344,Bureau of Customs and Border Protection,2
108,344,Centers for Disease Control and Prevention,3
108,344,Department of Health and Human Services,4
106,128,Tennessee Valley Authority,3
108,344,Department of Veterans Affairs,1
108,344,Agency for Healthcare Research and Quality,1
108,344,Federal Labor Relations Authority,2
108,344,General Accounting Office,20
108,344,Department of Defense,7
108,344,Merit Systems Protection Board,4
108,344,Federal Retirement Thrift Investment Board,3
108,344,National Institutes of Health,1
108,344,Bureau of International Narcotics and Law Enforcement Affairs,1
108,344,Department of State,3
108,344,Department of Commerce,3
108,344,United States Fish and Wildlife Service,1
108,344,Environmental Protection Agency,2
108,344,Department of the Treasury,9
108,344,United Nations,1
108,344,Department of Energy,2
108,344,Social Security Administration,2
108,344,Pension Benefit Guaranty Corporation,1
108,344,Office of Special Counsel,1
106,128,Federal Bureau of Investigation,4
108,344,Securities and Exchange Commission,3
108,344,Department of Justice,2
108,344,Office of Personnel Management,3
108,344,Department of Agriculture,3
108,344,Food and Drug Administration,4
108,344,Office of Hearings and Appeals,1
108,344,Social Security Advisory Board,1
108,344,Internal Revenue Service,2
108,344,Federal Trade Commission,1
108,344,Department of Education,2
108,344,Department of Labor,1
108,344,General Services Administration,2
108,344,Defense Finance and Accounting Service,1
108,344,United States Patent and Trademark Office,1
108,344,National Archives and Records Administration,1
108,344,Centers for Medicare and Medicaid Services,1
107,184,Small Business Administration,20
108,344,Federal Reserve,1
108,344,Drug Enforcement Administration,1
108,344,Bureau of Prisons,1
108,435,Substance Abuse and Mental Health Services Administration,1
108,435,Department of Health and Human Services,11
108,362,Department of Health and Human Services,2
108,362,Centers for Disease Control and Prevention,4
108,362,National Institutes of Health,4
108,362,Department of Labor,1
108,435,National Indian Gaming Commission,3
108,435,Department of the Interior,28
108,435,Department of Housing and Urban Development,2
108,435,Bureau of Indian Affairs,2
108,362,Health Resources and Services Administration,1
108,362,Substance Abuse and Mental Health Services Administration,1
108,362,Department of Homeland Security,2
108,435,Department of Agriculture,2
108,435,Department of Commerce,2
108,435,Federal Communications Commission,1
108,435,Department of Energy,1
108,435,Department of Transportation,1
108,435,United States Fish and Wildlife Service,1
108,435,Federal Energy Regulatory Commission,1
108,435,Indian Health Service,4
108,435,Department of Homeland Security,1
108,435,Department of Justice,2
108,435,Department of Education,3
108,435,United States Army Corps of Engineers,1
106,128,Department of Health and Human Services,23
