"","Category","Senate.Hearing.Number","Congress","Committees","Committee_Blanks","Title","Collection","Filename","Held.Date","Congress.Chamber","Hearing.Sub.Type","ILS.System.ID","SuDoc.Class.Number","X","Witnesses","Members.of.the.congress","File.exists","heldDate","Scrapped.witnesses","Agency","JK.code","UA.code","Parent.UA.code","US.State","Inspector.General","subCommittee","Committee.member.count","Denominator.count","Party.count.100.200.328.999.9999.","Party...Committee.info.Party.Senior.Party.Member.Committee.Seniority","Expertise"
"22876","Congressional Committee Materials",NA,"110th","115",NA,"HOUSE HEARING, 110TH CONGRESS - FISCAL CHALLENGES AND THE ECONOMY IN THE LONG TERM","Congressional Hearings","CHRG-110hhrg33754","28-Feb-07","House of Representatives","General",NA,"Y 4.B 85/3",NA,"Refer column R","barrett, gresham;

Jim Cooper : United States House of Representatives;

Xavier Becerra : United States House of Representatives;

Darlene Hooley : United States House of Representatives;

Thomas H. Allen : United States House of Representatives;

Marcy Kaptur : United States House of Representatives;

Allyson Y. Schwartz : United States House of Representatives;

John Campbell : United States House of Representatives;

John M. Spratt Jr. : United States House of Representatives;

Lloyd Doggett : United States House of Representatives;

Jeb Hensarling : United States House of Representatives;

Marion Berry : United States House of Representatives;

Scott Garrett : United States House of Representatives;

Patrick J. Tiberi : United States House of Representatives;

Bob Etheridge : United States House of Representatives;

Robert E. Andrews : United States House of Representatives;

Patrick T. McHenry : United States House of Representatives;

Paul Ryan : United States House of Representatives;","Yes","28-02-2007","Hon. John M. Spratt, Jr., Chairman, House Committee on the Budget

Hon. Paul Ryan, a Representative in Congress from the State of Wisconsin

Hon. Ben S. Bernanke, Chairman, Board of Governors, Federal Reserve System

Response to Ms. Kaptur regarding the fees paid to Wall Street firms for underwriting Treasury debt

","-

-

Federal Reserve 

-","-

-

276

-","-

-

7100.0

-","-

-

7100.0

-","-

Wisconsin

-

-","No

No

No

No","-",18,"42","24:18:-:-:-","200:0:3

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---","-"
"9309","Congressional Committee Materials","S. Hrg. 111-987","111th","314",NA,"S. HRG. 111-987 - PROBLEMS IN MORTGAGE SERVICING FROM MODIFICATION TO FORECLOSURE","Congressional Hearings","CHRG-111shrg65258","November 16, 2010

December 1, 2010","Senate","General","833699","Y 4.B 22/3:S.HRG.111-987",NA,"R.K. Arnold President and Chief Executive Officer : Merscorp Inc;

Adam J. Levitin Associate Professor of Law : Georgetown University Law Center;

Diane E. Thompson Counsel : National Consumer Law Center;

David B. Lowman Chief Executive Officer for Home Lending : JPMorgan Chase;

Barbara J. Desoer President : Bank of America Home Loans;

Thomas J. Miller Attorney General : State of Iowa;","Tim Johnson : United States Senate;

Mike Johanns : United States Senate;

Jeff Merkley : United States Senate;

reed, john freed, jack;

Daniel K. Akaka : United States Senate;

Robert F. Bennett : United States Senate;

Christopher J. Dodd : United States Senate;

Jon Tester : United States Senate;","Yes","2010-11-16;

2010-12-01","-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","-

-

-

-

-

-","#NAME?","No

No

No

No

No

No","-",8,"24","13:11:-:-:-","---

---

---

---

---

---

---

---","-

-

-

-

-

-"
"13126","Congressional Committee Materials",NA,"112th","196",NA,"HOUSE HEARING, 112TH CONGRESS - 2012 ANNUAL REPORT OF THE SOCIAL SECURITY BOARD OF TRUSTEES","Congressional Hearings","CHRG-112hhrg80261","21-Jun-12","House of Representatives","General","901648","Y 4.W 36:112-SS 16",NA,"Robert D. Reischauer Ph.D. Trustee : Social Security and Medicare Boards of Trustees Testimony;

Charles P. Blahous III Ph.D. Trustee : Social Security and Medicare Boards of Trustees Testimony;","Kenny Marchant : United States House of Representatives;

Rick Berg : United States House of Representatives;

Adrian Smith : United States House of Representatives;

Sam Johnson : United States House of Representatives;

Xavier Becerra : United States House of Representatives;

Kevin Brady : United States House of Representatives;

Aaron Schock : United States House of Representatives;

Fortney Pete Stark : United States House of Representatives;","Yes","21-06-2012","-","-

-","-

-","-

-","-

-","-

-","No

No","Subcommittee on Social Security",8,"39","15:24:-:-:-","---

---

---

---

---

---

---

---","Ph.D. : Doctor of Philosophy

Ph.D. : Doctor of Philosophy"
"5325","Congressional Committee Materials","S. Hrg. 107-562","107th","344",NA,"S. HRG. 107-562 - ERRATA S. HRG. 107-562 A REVIEW OF THE RELATIONSHIP BETWEEN A DEPARTMENT OF HOMELAND SECURITY AND THE INTELLIGENCE COMMUNITY","Congressional Hearings","CHRG-107shrg81618","June 26, 2002

June 27, 2002","Senate","General",NA,"Y 4.G 74/9",NA,"Refer column R","-","Yes","2002-06-26;

2002-06-27","Senator Lieberman............................................ 1, 61 Senator Thompson............................................. 3, 63 Senator Akaka................................................ 5, 65 Senator Collins.............................................. 6, 81 Senator Cleland.............................................. 7, 97 Senator Voinovich............................................ 7, 85 Senator Dayton

","-","-","-","-","-","No","-",0,"18","9:9:-:-:-","---","-"
"19820","Congressional Committee Materials",NA,"111th","134",NA,"HOUSE HEARING, 111TH CONGRESS - AFGHANISTAN POLICY AT THE CROSSROADS","Congressional Hearings","CHRG-111hhrg52853","15-Oct-09","House of Representatives","General",NA,"Y 4.F 76/1",NA,"Frederick W. Kagan Ph.D. : Resident Scholar American Enterprise Institute;

Mr. Steve Coll President : New America Foundation;

J. Alexander Thier J.D. : Director for Afghanistan and Pakistan United States Institute of Peace;","Dana Rohrabacher : United States House of Representatives;

Gene Green : United States House of Representatives;

Michael E. McMahon : United States House of Representatives;

Howard L. Berman : United States House of Representatives;

Albio Sires : United States House of Representatives;

Bob Inglis : United States House of Representatives;

wilson, addison g joe;

Gus M. Bilirakis : United States House of Representatives;

Diane E. Watson : United States House of Representatives;

Gerald E. Connolly : United States House of Representatives;

Ron Paul : United States House of Representatives;

Ron Klein : United States House of Representatives;

Gary L. Ackerman : United States House of Representatives;

Dan Burton : United States House of Representatives;

Brad Sherman : United States House of Representatives;

Barbara Lee : United States House of Representatives;

delahunt, william d;

Jeff Fortenberry : United States House of Representatives;

Sheila Jackson Lee : United States House of Representatives;

Lynn C. Woolsey : United States House of Representatives;","Yes","15-10-2009","-","#NAME?","362","#NAME?","#NAME?","-

-

-","No

No

No","-",20,"49","30:19:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---","Ph.D. : Doctor of Philosophy

-

J.D. : Juris Doctorate, a law degree"
"11867","Congressional Committee Materials",NA,"112th","251",NA,"HOUSE HEARING, 112TH CONGRESS - DOES ADMINISTRATION AMNESTY HARM OUR EFFORTS TO GAIN AND MAINTAIN OPERATIONAL CONTROL OF THE BORDER?","Congressional Hearings","CHRG-112hhrg73358","4-Oct-11","House of Representatives","General","870532","Y 4.H 75:112-47",NA,"Ruth Ellen Wasem Ph.D. : Specialist in Immigration Policy Congressional Research Service:;

Kumar C. Kibble Deputy Director : Immigration and Customs Enforcement Department of Homeland Security:;

Chief Michael J. Fisher Border Patrol : Customs and Border Protection Department of Homeland Security:;","Bennie G. Thompson : United States House of Representatives;

E. Scott Rigell : United States House of Representatives;

quayle, ben;

Jeff Duncan : United States House of Representatives;

Candice S. Miller : United States House of Representatives;

Sheila Jackson Lee : United States House of Representatives;

Michael T. McCaul : United States House of Representatives;

Henry Cuellar : United States House of Representatives;","Yes","4/10/11","-","#NAME?","-

127

127","-

1600.0

1600.0","-

1600.0

1600.0","-

-

-","No

No

No","Subcommittee on Border and Maritime Security",8,"37","17:20:-:-:-","---

---

200:0:1

---

---

---

---

---","Ph.D. : Doctor of Philosophy

-

-"
"20862","Congressional Committee Materials",NA,"110th","128",NA,"HOUSE HEARING, 110TH CONGRESS - ASSESSING THE IMPACT OF A SAFE AND EQUITABLE BIOSIMILAR POLICY IN THE UNITED STATES","Congressional Hearings","CHRG-110hhrg40500","2-May-07","House of Representatives","General",NA,"Y 4.C 73/8",NA,"Bruce Downey chairman of the board : Generic Pharmaceutical Association chairman and chief executive officer Barr Pharmaceuticals Incorporated;

William Schwieterman M.D : nan;

Geoffrey Allan president : chief executive officer chairman of the board Insmed Incorporated;

Richard F. Kingham partner : Covington & Burling;

David Schenkein M.D. : vice president clinical hematology/ oncology Genentech Incorporated;

Ed Weisbart M.D. : chief medical officer medical affairs Express Scripts Incorporated;

Janet Woodcock M.D. : Deputy Commissioner Chief Medical Officer Food and Drug Administration;

Ruth Hoffman executive director : the Candlelighters Childhood Cancer Foundation;","Heather Wilson : United States House of Representatives;

Marsha Blackburn : United States House of Representatives;

Anna G. Eshoo : United States House of Representatives;

Bart Gordon : United States House of Representatives;

Gene Green : United States House of Representatives;

Hilda L. Solis : United States House of Representatives;

Darlene Hooley : United States House of Representatives;

Tim Murphy : United States House of Representatives;

Frank Pallone Jr. : United States House of Representatives;

Jay Inslee : United States House of Representatives;

Henry A. Waxman : United States House of Representatives;

John D. Dingell : United States House of Representatives;

Janice D. Schakowsky : United States House of Representatives;

John Sullivan : United States House of Representatives;

Nathan Deal : United States House of Representatives;

Michael C. Burgess : United States House of Representatives;

Joe Barton : United States House of Representatives;

Diana DeGette : United States House of Representatives;

Jim Matheson : United States House of Representatives;

Tammy Baldwin : United States House of Representatives;

Mike Ferguson : United States House of Representatives;

Mike Rogers : United States House of Representatives;

Lois Capps : United States House of Representatives;","Yes","2/5/07","-","-

-

-

-

-

-

Food and Drug Administration

-","-

-

-

-

-

-

56

-","-

-

-

-

-

-

910.0

-","-

-

-

-

-

-

900.0

-","-

Maryland

-

-

Maryland

Maryland

Maryland

-","No

No

No

No

No

No

No

No","Subcommittee on Health",23,"62","32:30:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---

---","-

-

-

-

M.D. : Medical Doctor, a physicians degree

M.D. : Medical Doctor, a physicians degree

M.D. : Medical Doctor, a physicians degree

-"
"21251","Congressional Committee Materials",NA,"108th","128",NA,"HOUSE HEARING, 108TH CONGRESS - TRAVEL AND TOURISM IN AMERICA TODAY","Congressional Hearings","CHRG-108hhrg87483","30-Apr-03","House of Representatives","General",NA,"Y 4.C 73/8",NA,"Refer column R","Janice D. Schakowsky : United States House of Representatives;

Gene Green : United States House of Representatives;

Sherrod Brown : United States House of Representatives;

Ted Strickland : United States House of Representatives;

Charles F. Bass : United States House of Representatives;

John B. Shadegg : United States House of Representatives;

tauzin, w j billy;

stearns, clifford b;","Yes","30-04-2003","Edwards, William H., Jr., Vice President and General Manager, Hilton Washington & Towers

Lundberg, Rolf, Senior Vice President, Congressional and Public Affairs, U.S., Chamber of Commerce

Robinson, J. Clark, President, International Association of Amusement Parks and Attractions

Ruden, Paul M., Senior Vice President for Legal and Industry Affairs, American Society of Travel Agents

Sternberg, Michael, Chief Executive Officer, Sam & Harry's, The Caucus Room

Walker, Matthew S., General Vice President, Hotel Employees & Restaurant Employees International Union

Additional material submitted for the record: Porter, Hon. Jon, a Representative in Congress from the State of Nevada, prepared statement of

Travel Industry Association of America, prepared statement of    44 (iii) ","-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-","Washington

-

-

-

-

-

Nevada

-","No

No

No

No

No

No

No

No","Subcommittee on Commerce, Trade, and Consumer Protection",8,"60","27:33:-:-:-","---

---

---

---

---

---

---

---","-"
"9056","Congressional Committee Materials","S. Hrg. 109-699","109th","321",NA,"S. HRG. 109-699 - RURAL TELECOMMUNICATIONS","Congressional Hearings","CHRG-109shrg30299","7-Mar-06","Senate","General",NA,"Y 4.C 73/7",NA,"Goldstein Mark : Director Physical Infrastructure Issues U.S. Government Accountability Office;

Baum Ray : Commissioner Public Utility Commission of Oregon;

Johnson Mark K. : Commissioner Regulatory Commission of Alaska;

Sarjeant Lawrence E. : Vice President Federal Legislative and Regulatory Affairs Qwest Communications International Inc;

Garcia Joe : Governor Ohkay Owingeh; President National Congress of American Indians (NCAI);

Dorr Hon. Thomas : Under Secretary Rural Development Department of Agriculture; accompanied by Jim Andrew Administrator Rural Utilities Service;

Squires William : Senior Vice President/General Counsel Blackfoot Telecommunications Group;

Mundie Craig : Senior Vice President Chief Technical Officer Advanced Strategies and Policy Microsoft Corporation;","Ted Stevens : United States Senate;

Byron L. Dorgan : United States Senate;

George Allen : United States Senate;

Trent Lott : United States Senate;

Mark L. Pryor : United States Senate;

Conrad R. Burns : United States Senate;","Yes","7/3/06","-","-

-

-

-

-

Department of Agriculture

-

-","-

-

-

-

-

11

-

-","-

-

-

-

-

500.0

-

-","-

-

-

-

-

500.0

-

-","-

Oregon

Alaska

-

-

-

-

-","No

No

No

No

No

No

No

No","-",6,"22","10:12:-:-:-","---

---

---

---

---

---","-

-

-

-

-

-

-

-"
"17104","Congressional Committee Materials",NA,"112th","156",NA,"HOUSE HEARING, 112TH CONGRESS - CLOUD COMPUTING: AN OVERVIEW OF THE TECHNOLOGY AND THE ISSUES FACING AMERICAN INNOVATORS","Congressional Hearings","CHRG-112hhrg75311","25-Jul-12","House of Representatives","General","879756","Y 4.J 89/1:112-122",NA,"Justin Freeman Corporate Counsel : Rackspace US Inc.;

Daniel Castro Senior Analyst : Information Technology and Innovation Foundation (ITIF);

Daniel Chenok Executive Director : Center for the Business of Government International Business Machines Corporation (IBM);

Robert W. Holleyman II : President and Chief Executive Officer Business Software Alliance (BSA);","Lamar Smith : United States House of Representatives;

Melvin L. Watt : United States House of Representatives;

Zoe Lofgren : United States House of Representatives;

Jerrold Nadler : United States House of Representatives;

goodlatte, robert w;

Tom Marino : United States House of Representatives;","Yes","25-07-2012","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","No

No

No

No","Subcommittee on Intellectual Property, Competition, and the Internet",6,"41","17:24:-:-:-","---

---

---

---

---

---","-

-

-

-"
"21114","Congressional Committee Materials",NA,"111th","128",NA,"HOUSE HEARING, 111TH CONGRESS - H.R. 1084, THE COMMERCIAL ADVERTISEMENT LOUDNESS MITIGATION ACT (CALM); H.R. 1147, THE LOCAL COMMUNITY RADIO ACT OF 2009; AND H.R. 1133, THE FAMILY TELEPHONE CONNECTION PROTECTION ACT OF 2009","Congressional Hearings","CHRG-111hhrg73746","11-Jun-09","House of Representatives","General","875548","Y 4.C 73/8:111-47",NA,"David Donovan President : The Association for Maximum Service Television Inc;

Cheryl A. Leanza Policy Director : United Church of Christ Office of Communications Inc;

Frank W. Krogh Esquire : Morrison and Foerster LLP;

Caroline Beasley Executive Vice President and CFO : Beasley Broadcast Group;

Jim Starzynski Principal Engineer and Audio Architect : NBC Universal Advanced Engineering;

Joel Kelsey Policy Analyst : Consumers Union;

Curtis Hopfinger Director of Government & Regulatory Affairs : Securus Technologies;","Bobby L. Rush : United States House of Representatives;

Jerry McNerney : United States House of Representatives;

Anna G. Eshoo : United States House of Representatives;

butterfield, george kenneth, jr gk;

Greg Walden : United States House of Representatives;

boucher, frederick c;

Anthony D. Weiner : United States House of Representatives;

Lee Terry : United States House of Representatives;

stearns, clifford b;

Michael F. Doyle : United States House of Representatives;

Bart Stupak : United States House of Representatives;","Yes","11/6/09","-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","No

No

No

No

No

No

No","Subcommittee on Communications, Technology, and the Internet",11,"61","36:25:-:-:-","---

---

---

---

---

---

---

---

---

---

---","-

-

-

-

-

-

-"
"16079","Congressional Committee Materials",NA,"106th","164",NA,"HOUSE HEARING, 106TH CONGRESS - OVERSIGHT HEARINGS TO EXAMINE THE LAWS, POLICIES, PRACTICES, AND OPERATIONS OF THE DOI, DOE., AND OTHER AGENCIES PERTAINING TO PAYMENTS TO THEIR EMPLOYEES, INCLUDING PAYMENTS RELATIVE TO MINERAL ROYALTY PROGRAMS AND POLICIES FROM PUBLIC LANDS AND INDIAN LANDS","Congressional Hearings","CHRG-106hhrg65382","May 4, 2000

May 18, 2000","House of Representatives","Oversight",NA,"Y 4.R 31/3",NA,"-","underwood, robert a;

Bob Schaffer : United States House of Representatives;

thornberry, william m mac;

George Miller : United States House of Representatives;

Kevin Brady : United States House of Representatives;

Jim Gibbons : United States House of Representatives;

Thomas G. Tancredo : United States House of Representatives;

Jay Inslee : United States House of Representatives;

Barbara Cubin : United States House of Representatives;","Yes","2000-05-04;

2000-05-18","-","-","-","-","-","-","-","Subcommittee on Energy and Mineral Resources",9,"53","22:28:-:-:3","---

---

---

---

---

---

---

---

---","-"
"15305","Congressional Committee Materials",NA,"111th","173",NA,"HOUSE HEARING, 111TH CONGRESS - THE SAFETY OF HAZARDOUS LIQUID PIPELINES: REGULATED VS. UNREGULATED PIPELINES","Congressional Hearings","CHRG-111hhrg57251","29-Jun-10","House of Representatives","General","826529","Y 4.T 68/2:111-124",NA,"Refer column R","Rick Larsen : United States House of Representatives;

Grace F. Napolitano : United States House of Representatives;

Timothy J. Walz : United States House of Representatives;

Bill Shuster : United States House of Representatives;

Albio Sires : United States House of Representatives;","Yes","29-06-2010","Epstein, Lois N., P.E., LNE Engineering and Policy, Anchorage, Alaska, and Consultant, Pipeline Safety Trust

Falgoust, Stephen, Director, Asset Integrity, Plains All American Pipeline LP, also on behalf of the Association of Oil Pipe Lines and the American Petroleum Institute

Hersman, Hon. Deborah A., Chair, National Transportation Safety Board

Quarterman, Hon. Cynthia, Administrator, Pipeline and Hazardous Materials Safety Administration

","#NAME?","-

-

244

186","-

-

3147.0

2137.0","-

-

3147.0

2100.0","Alaska

-

-

-","No

No

No

No","Subcommittee on Railroads, Pipelines, and Hazardous Materials",5,"79","47:32:-:-:-","---

---

---

---

---","-"
"23300","Congressional Committee Materials",NA,"109th","113",NA,"HOUSE HEARING, 109TH CONGRESS - REGULATION NMS: THE SEC'S VIEW","Congressional Hearings","CHRG-109hhrg23736","15-Mar-05","House of Representatives","General",NA,"Y 4.F 49/20",NA,"Donaldson Hon. William H. : Chairman U.S. Securities and Exchange Commission;","Brad Sherman : United States House of Representatives;

Joseph Crowley : United States House of Representatives;

Vito Fossella : United States House of Representatives;

Jeb Hensarling : United States House of Representatives;

Nydia M. Velazquez : United States House of Representatives;

Christopher Shays : United States House of Representatives;

Richard H. Baker : United States House of Representatives;

David Scott : United States House of Representatives;

royce, ed;

Stephen F. Lynch : United States House of Representatives;

Michael G. Oxley : United States House of Representatives;

Paul E. Kanjorski : United States House of Representatives;

Gary L. Ackerman : United States House of Representatives;

Steve Israel : United States House of Representatives;

Judy Biggert : United States House of Representatives;

Jim Ryun : United States House of Representatives;","Yes","15-03-2005","-","Securities and Exchange Commission","261","3235","3235","-","No","Subcommittee on Capital Markets, Insurance and Government Sponsored Enterprises",16,"71","32:38:1:-:-","---

---

---

---

---

---

---

---

200:0:6

---

---

---

---

---

---

---","-"
"25523","Congressional Committee Materials",NA,"110th","102",NA,"HOUSE HEARING, 110TH CONGRESS - HEARING TO REVIEW FOOD AID AND AGRICULTURE TRADE PROGRAMS OPERATED BY THE U.S. DEPARTMENT OF AGRICULTURE AND THE U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT","Congressional Hearings","CHRG-110hhrg47952","10-May-07","House of Representatives","General",NA,"Y 4.AG 8/1",NA,"Yost Michael W. : Administrator Foreign Agricultural Service U.S. Department of Agriculture Washington D.C;

Binversie Robert : Volunteer Farmer-to-Farmer Program Keil WI;

Wickstrom Cary L. : Wheat Farmer; Member Board of Directors U.S. Wheat Associates (USW); Immediate Past President Colorado Wheat Administrative Committee; on behalf of U.S. Wheat Associates' Food Aid Working Group Orchard CO;

Ford Patrick : Director International Marketing Ford's Gourmet Foods; on behalf of Coalition to Promote U.S. Agricultural Exports Raleigh NC;

Gillcrist John : Chairman Bartlett Milling Company; Director North American Millers' Association; on behalf of Agricultural Food Aid Coalition Kansas City MO;

Reilly Annemarie : Chief of Staff Catholic Relief Services (CRS) Baltimore MD;

Levinson Ellen S. : Executive Director Alliance for Food Aid (AFA); President Levinson & Associates Washington D.C;

Hammink William : Director Office of Food for Peace U.S. Agency for International Development (USAID) Washington D.C;

Sumner James H. : President USA Poultry & Egg Export Council (USAPEEC); on behalf of Coalition to Promote U.S. Agricultural Exports Stone Mountain GA;","John T. Salazar : United States House of Representatives;

Adrian Smith : United States House of Representatives;

John Barrow : United States House of Representatives;

emerson, jo ann;

mcgovern, jim;

moran, james p, jr;

Marilyn N. Musgrave : United States House of Representatives;

Mike McIntyre : United States House of Representatives;","Yes","10/5/07","-","Department of Agriculture

-

-

-

-

-

-

United States Agency for International Development

-","11

-

-

-

-

-

-

7

-","500.0

-

-

-

-

-

-

412.0

-","500.0

-

-

-

-

-

-

412.0

-","Washington

-

Colorado

-

Kansas

-

Washington

Washington

-","No

No

No

No

No

No

No

No

No","Subcommittee on Specialty Crops, Rural Development, and Foreign Agriculture",8,"48","26:22:-:-:-","---

---

---

---

---

---

---

---","-

-

-

-

-

-

-

-

-"
"23365","Congressional Committee Materials",NA,"111th","113",NA,"HOUSE HEARING, 111TH CONGRESS - SECOND LIENS AND OTHER BARRIERS TO PRINCIPAL REDUCTION AS AN EFFECTIVE FORECLOSURE MITIGATION PROGRAM","Congressional Hearings","CHRG-111hhrg57738","13-Apr-10","House of Representatives","General","750172","Y 4.F 49/20:111-120",NA,"Desoer Barbara : President Bank of America Home Loans accompanied by Jack Schakett Credit Loss Mitigation Strategies Executive;

Lowman David : Chief Executive Officer JPMorgan Chase Home Lending accompanied by Molly Sheehan Senior Vice President Housing Policy;

Das Sanjiv : President and Chief Executive Officer CitiMortgage Inc. accompanied by Steve Hemperly Executive Vice President;

Heid Michael J. : Co-President Wells Fargo Home Mortgage accompanied by Kevin Moss Executive Vice President Wells Fargo Home Equity Group;","Andre Carson : United States House of Representatives;

Jeb Hensarling : United States House of Representatives;

Spencer Bachus : United States House of Representatives;

Dennis Moore : United States House of Representatives;

Randy Neugebauer : United States House of Representatives;

Barney Frank : United States House of Representatives;

Paul E. Kanjorski : United States House of Representatives;

Melissa L. Bean : United States House of Representatives;

Al Green : United States House of Representatives;

Judy Biggert : United States House of Representatives;

Brad Miller : United States House of Representatives;","Yes","13-04-2010","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","No

No

No

No","-",11,"71","42:29:-:-:-","---

---

---

---

---

---

---

---

---

---

---","-

-

-

-"
"2797","Congressional Committee Materials","S. Hrg. 107-278","107th","435",NA,"S. HRG. 107-278 - LEGISLATIVE PROPOSALS RELATING TO THE STATUTE OF LIMITATIONS ON CLAIMS AGAINST THE UNITED STATES RELATED TO THE MANAGEMENT OF INDIAN TRIBAL TRUST FUND ACCOUNTS","Congressional Hearings","CHRG-107shrg77685","7-Feb-02","Senate","General",NA,"Y 4.IN 2/11",NA,"Refer column R","Tim Johnson : United States Senate;

Craig Thomas : United States Senate;

Daniel K. Inouye : United States Senate;

Frank H. Murkowski : United States Senate;

Ben Nighthorse Campbell : United States Senate;","Yes","7/2/02","Armstrong, Tom, Office of the General Counsel

Hogen, Phillip, associate solicitor for Indian affairs, Department of the Interior

Inouye, Hon. Daniel K., U.S. Senator from Hawaii, chairman, Committee on Indian Affairs

Khoury, Mike, assistant director, Trust Department, Department of the Interior

Taradash, Alan, consultant, Intertribal Monitoring Association

Tillman, Charles, chief, Osage Nation and chairman, Intertribal Monitoring Association

Williams, McCoy, acting director, Financial Management and Assurance, GAO

","-

Department of the Interior

-

Department of the Interior

-

-

-","-

72

-

72

-

-

-","-

1000.0

-

1000.0

-

-

-","-

1000.0

-

1000.0

-

-

-","-

-

Hawaii

-

-

-

-","No

No

No

No

No

No

No","-",5,"15","8:7:-:-:-","---

---

---

---

---","-"
"13402","Congressional Committee Materials",NA,"111th","192",NA,"HOUSE HEARING, 111TH CONGRESS - ENERGY EFFICIENCY AT THE U.S. DEPARTMENT OF VETERANS AFFAIRS","Congressional Hearings","CHRG-111hhrg53431","30-Sep-09","House of Representatives","General","699635","Y 4.V 64/3:111-46",NA,"U.S. Department of Energy Richard G. Kidd IV : Program Manager Federal Energy Management Program Office of Energy Efficiency and Renewable Energy;

U.S. Green Building Council Thomas W. Hicks : Executive Director Building Performance Initiative;

U.S. Department of Veterans Affairs James M. Sullivan : Director Office of Asset Enterprise Management;

Center for Environmental Innovation in Roofing James L. Hoff : DBA Director of Research;

U.S. General Services Administration Kevin Kampschroer : Acting Director Office of Federal High-Performance Green Buildings;

Green Building Initiative Jane M. Rohde : AIA FIIDA ACHA AAHID Principal and Founder JRS Associates Inc;

Center for Maximum Potential Building Systems Austin : TX Gail Vittori Co-Director;","Michael H. Michaud : United States House of Representatives;

Brian P. Bilbray : United States House of Representatives;

Bob Filner : United States House of Representatives;

Ciro D. Rodriguez : United States House of Representatives;

John J. Hall : United States House of Representatives;

buyer, stephen e;","Yes","30-09-2009","-","Department of Energy

-

Department of Veterans Affairs

-

General Services Administration

-

-","154

-

200

-

225

-

-","1900.0

-

2900.0

-

3090.0

-

-","1900.0

-

2900.0

-

3090.0

-

-","#NAME?","No

No

No

No

No

No

No","-",6,"31","18:13:-:-:-","---

---

---

---

---

---","-

-

-

-

-

-

-"
"12266","Congressional Committee Materials",NA,"111th","251",NA,"HOUSE HEARING, 111TH CONGRESS - PKEMRA IMPLEMENTATION: AN EXAMINATION OF FEMA'S PREPAREDNESS AND RESPONSE MISSION","Congressional Hearings","CHRG-111hhrg54475","17-Mar-09","House of Representatives","General",NA,"Y 4.H 75",NA,"Mr. Corey Gruber Acting Deputy Administrator : National Preparedness Directorate Federal Emergency Management Agency (FEMA): Oral Statement;

Mr. Daniel Kaniewski Deputy Director : Homeland Security Policy Institute The George Washington University: Oral Statement;

Mr. Richard Skinner Inspector General : Department of Homeland Security: Oral Statement;

Mr. William ``Bill'' Jenkins Director : Homeland Security and Justice U.S. Government Accountability Office: Oral Statement;

Ms. Mary Troupe Executive Director : Mississippi Coalition of Citizens with Disabilities: Oral Statement;","Dina Titus : United States House of Representatives;

Henry Cuellar : United States House of Representatives;

cao, anh äóìjosephäóù;

Emanuel Cleaver : United States House of Representatives;

Laura Richardson : United States House of Representatives;","Yes","17-03-2009","-","Federal Emergency Management Agency

-

Department of Homeland Security

-

-","139

-

127

-

-","1660.0

-

1600.0

-

-","1600.0

-

1600.0

-

-","#NAME?","No

No

Yes

No

No","Subcommittee on Emergency Communications, Preparedness, and Response",5,"34","21:13:-:-:-","---

---

200:0:1

---

---","-

-

-

-

-"
