Keyword(s) for oversight,Agency witness,Witness name,Witness agency,Oversight,Agency witness serving as expert,,Category,Senate.Hearing.Number,Congress,title,Collection,filename,Held.Date,Congress.Chamber,Hearing.Sub.Type,ILS.System.ID,SuDoc.Class.Number
,,,,,,15005,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - LAW ENFORCEMENT OFFICERS SAFETY ACT OF 2003",Congressional Hearings,CHRG-108hhrg94197,15-Jun-04,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,10179,Congressional Committee Materials,S. Hrg. 110-166,110th,S. HRG. 110-166 - CURRENT AND FUTURE READINESS OF THE ARMY AND MARINE CORPS,Congressional Hearings,CHRG-110shrg38324,15-Feb-07,Senate,General,NA,Y 4.2
,,,,,,7208,Congressional Committee Materials,S. Hrg. 111-1236,111th,S. HRG. 111-1236 - OVERSIGHT HEARING: NUCLEAR REGULATORY COMMISSION,Congressional Hearings,CHRG-111shrg22441,5-May-10,Senate,General,NA,Y 4.P 96/10
,,,,,,25403,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE UPPER BIG BRANCH MINE TRAGEDY",Congressional Hearings,CHRG-111hhrg56355,24-May-10,House of Representatives,Field,768448,Y 4.ED 8/1:111-65
,,,,,,9035,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - POACHING AMERICAN SECURITY: IMPACTS OF ILLEGAL WILDLIFE TRADE",Congressional Hearings,CHRG-110hhrg41050,5-Mar-08,House of Representatives,Oversight,NA,Y 4.R 31/3
,,,,,,23159,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - RIGHTSIZING THE FEDERAL WORKFORCE",Congressional Hearings,CHRG-112hhrg68216,26-May-11,House of Representatives,General,848937,Y 4.G 74/7:112-38
,,,,,,10912,Congressional Committee Materials,S. Hrg. 110-486,110th,S. HRG. 110-486 - THE STATE AND FEDERAL RESPONSE TO STORM DAMAGE AND EROSION IN ALASKA'S COASTAL VILLAGES,Congressional Hearings,CHRG-110shrg38848,11-Oct-07,Senate,General,NA,Y 4.G 74/9
,,,,,,11567,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - U.S. DIPLOMACY IN LATIN AMERICA",Congressional Hearings,CHRG-109hhrg22656,27-Jul-05,House of Representatives,General,NA,NA
,,,,,,7438,Congressional Committee Materials,S. Hrg. 111-355,111th,S. HRG. 111-355 - UNCLE SAM WANTS YOU!: RECRUITMENT IN THE FEDERAL GOVERNMENT,Congressional Hearings,CHRG-111shrg51024,7-May-09,Senate,General,678330,Y 4.G 74/9:S.HRG.111-355
,,,,,,12958,Congressional Committee Materials,S. Hrg. 109-83,109th,S. HRG. 109-83 - DEMOCRACY IN RETREAT IN RUSSIA,Congressional Hearings,CHRG-109shrg22751,17-Feb-05,Senate,General,NA,Y 4.F 76/2
,,,,,,7115,Congressional Committee Materials,S. Hrg. 111-592,111th,S. HRG. 111-592 - SECURE WATER ACT,Congressional Hearings,CHRG-111shrg58190,16-Mar-10,Senate,General,754480,Y 4.EN 2:S.HRG.111-592
,,,,,,13795,Congressional Committee Materials,S. Hrg. 109-1040,109th,S. HRG. 109-1040 - REPORTERS' PRIVILEGE LEGISLATION: AN ADDITIONAL INVESTIGATION OF ISSUES AND IMPLICATIONS,Congressional Hearings,CHRG-109shrg46829,19-Oct-05,Senate,General,NA,Y 4.J 89/2
,,,,,,24842,Congressional Committee Materials,S. Hrg. 112-436,112th,S. HRG. 112-436 - OVERSIGHT OF THE U.S. DEPARTMENT OF JUSTICE,Congressional Hearings,CHRG-112shrg74542,8-Nov-11,Senate,General,875403,Y 4.J 89/2:S.HRG.112-436
,,,,,,22614,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - NORTH KOREA AFTER KIM JONG-IL: STILL DANGEROUS AND ERRATIC",Congressional Hearings,CHRG-112hhrg73815,18-Apr-12,House of Representatives,General,875533,Y 4.F 76/1:112-149
,,,,,,24134,Congressional Committee Materials,S. Hrg. 112-80,112th,S. HRG. 112-80 - DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2012 AND THE FUTURE YEARS DEFENSE PROGRAM,Congressional Hearings,CHRG-112shrg68087,"April 5, 2011May 24, 2011",Senate,Authorization,865454,Y 4.AR 5/3:S.HRG.112-80/
,,,,,,12562,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - ALASKA NATURAL GAS PIPELINE STATUS REPORT",Congressional Hearings,CHRG-108hhrg93978,5-May-04,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,11228,Congressional Committee Materials,S. Hrg. 110-215,110th,S. HRG. 110-215 - HEARING ON VA HEALTH CARE FUNDING ISSUES,Congressional Hearings,CHRG-110shrg37969,25-Jul-07,Senate,General,NA,Y 4.V 64/4
,,,,,,22900,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - DRAFT LEGISLATIVE PROPOSAL ON CYBERSECURITY",Congressional Hearings,CHRG-112hhrg74646,6-Dec-11,House of Representatives,General,889661,Y 4.H 75:112-61
,,,,,,5347,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE END OF EXCESS (PART ONE): REVERSING OUR ADDICTION TO DEBT AND LEVERAGE",Congressional Hearings,CHRG-111hhrg58041,6-May-10,House of Representatives,General,787138,Y 4.F 49/20:111-131
,,,,,,13048,Congressional Committee Materials,S. Hrg. 109-1097,109th,S. HRG. 109-1097 - VESSEL OIL POLLUTION: REDUCING THE RISK OF FUTURE SPILLS,Congressional Hearings,CHRG-109shrg62793,1-Aug-05,Senate,Field,777112,Y 4.C 73/7:S.HRG.109-1097
,,,,,,25519,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - PREMATURITY AND INFANT MORTALITY: WHAT HAPPENS WHEN BABIES ARE BORN TOO EARLY?",Congressional Hearings,CHRG-111hhrg76576,12-May-10,House of Representatives,General,894770,Y 4.C 73/8:111-121
,,,,,,11728,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - PREVENTING TERRORIST ATTACKS ON AMERICA'S CHEMICAL PLANTS",Congressional Hearings,CHRG-109hhrg24604,15-Jun-05,House of Representatives,General,NA,Y 4.H 75
,,,,,,6836,Congressional Committee Materials,S. Hrg. 111-260,111th,S. HRG. 111-260 - THE EFFECTS OF THE ECONOMIC CRISIS ON COMMUNITY BANKS AND CREDIT UNIONS IN RURAL COMMUNITIES,Congressional Hearings,CHRG-111shrg54675,8-Jul-09,Senate,General,691461,Y 4.B 22/3:S.HRG.111-260
,,,,,,6035,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - GEOENGINEERING: PARTS I, II, AND III",Congressional Hearings,CHRG-111hhrg53007,"March 18, 2009November 5, 2009",House of Representatives,General,786473,Y 4.SCI 2:111-62/111-75/111-88
,,,,,,23637,Congressional Committee Materials,S. Hrg. 111,111th,"S. HRG. 111 - MILITARY CONSTRUCTION AND VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2011",Congressional Hearings,CHRG-111shrg99104416,22-Apr-10,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,13694,Congressional Committee Materials,S. Hrg. 109-331,109th,S. HRG. 109-331 - CAMERAS IN THE COURTROOM,Congressional Hearings,CHRG-109shrg26506,9-Nov-05,Senate,General,NA,Y 4.J 89/2
,,,,,,23389,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - AN OVERVIEW OF THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION BUDGET FOR FISCAL YEAR 2013",Congressional Hearings,CHRG-112hhrg73126,7-Mar-12,House of Representatives,General,890611,Y 4.SCI 2:112-68
,,,,,,22659,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - RELIGIOUS FREEDOM, DEMOCRACY, HUMAN RIGHTS IN ASIA: STATUS OF IMPLEMENTATION OF THE TIBETAN POLICY ACT, BLOCK BURMESE JADE ACT, AND NORTH KOREAN HUMAN RIGHTS ACT",Congressional Hearings,CHRG-112hhrg66780,2-Jun-11,House of Representatives,General,834171,Y 4.F 76/1:112-40
,,,,,,5774,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - U.S. DEPARTMENT OF VETERANS AFFAIRS STATUS REPORT ON POST-9/11 GI BILL",Congressional Hearings,CHRG-111hhrg53436,15-Oct-09,House of Representatives,General,704398,Y 4.V 64/3:111-51
,,,,,,22060,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - [H.A.S.C. NO. 112-13 ] ARE WE READY? AN INDEPENDENT LOOK AT THE REQUIRED READINESS POSTURE OF U.S. FORCES",Congressional Hearings,CHRG-112hhrg65113,3-Mar-11,House of Representatives,General,839317,Y 4.AR 5/2 A:2011-2012/13
,,,,,,25604,Congressional Committee Materials,S. Hrg. 112-601,112th,S. HRG. 112-601 - NATO: CHICAGO AND BEYOND,Congressional Hearings,CHRG-112shrg76688,10-May-12,Senate,General,886245,Y 4.F 76/2:S.HRG.112-601
,,,,,,11151,Congressional Committee Materials,S. Hrg. 110-569,110th,S. HRG. 110-569 - CONCENTRATION IN AGRICULTURE AND AN EXAMINATION OF THE JBS/SWIFT ACQUISITIONS,Congressional Hearings,CHRG-110shrg45064,7-May-08,Senate,General,NA,Y 4.J 89/2
,,,,,,9091,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - REBUILDING HIGHWAY AND TRANSIT INFRASTRUCTURE ON THE GULF COAST FOLLOWING HURRICANE KATRINA-- STATE AND LOCAL OFFICIALS",Congressional Hearings,CHRG-109hhrg25919,27-Oct-05,House of Representatives,General,NA,Y 4.T 68/2
,,,,,,10587,Congressional Committee Materials,S. Hrg. 110-599,110th,S. HRG. 110-599 - MISCELLANEOUS NATIONAL PARKS BILLS,Congressional Hearings,CHRG-110shrg45339,30-Jul-08,Senate,General,NA,Y 4.EN 2
,,,,,,22934,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - TERRORIST FINANCING SINCE 9/11: ASSESSING AN EVOLVING AL-QAEDA AND STATE SPONSORS OF TERRORISM",Congressional Hearings,CHRG-112hhrg78153,18-May-12,House of Representatives,General,896052,Y 4.H 75:112-93
,,,,,,13679,Congressional Committee Materials,S. Hrg. 109-168,109th,S. HRG. 109-168 - OVERSIGHT OF THE USA PATRIOT ACT,Congressional Hearings,CHRG-109shrg24293,"April 5, 2005May 10, 2005",Senate,General,NA,Y 4.J 89/2
,,,,,,11586,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - INDIA'S UNFINISHED AGENDA: EQUALITY AND JUSTICE FOR 200 MILLION VICTIMS OF THE CASTE SYSTEM",Congressional Hearings,CHRG-109hhrg23825,6-Oct-05,House of Representatives,General,NA,NA
,,,,,,12608,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - TRAVEL AND TOURISM AND HOMELAND SECURITY: IMPROVING BOTH WITHOUT SACRIFICING EITHER",Congressional Hearings,CHRG-108hhrg95445,23-Jun-04,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,24903,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - RISING DIESEL FUEL COSTS IN THE TRUCKING INDUSTRY",Congressional Hearings,CHRG-110hhrg42306,6-May-08,House of Representatives,General,NA,Y 4.T 68/2
,,,,,,24416,Congressional Committee Materials,S. Hrg. 112-226,112th,S. HRG. 112-226 - PUBLIC LANDS AND FORESTS LEGISLATION,Congressional Hearings,CHRG-112shrg72433,3-Aug-11,Senate,General,864683,Y 4.EN 2:S.HRG.112-226
,,,,,,25596,Congressional Committee Materials,S. Hrg. 112-473,112th,S. HRG. 112-473 - SUDAN AND SOUTH SUDAN: INDEPENDENCE AND INSECURITY,Congressional Hearings,CHRG-112shrg75020,14-Mar-12,Senate,General,880791,Y 4.F 76/2:S.HRG.112-473
,,,,,,10084,Congressional Committee Materials,S. Hrg. 110,110th,S. HRG. 110 - DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2008,Congressional Hearings,CHRG-110shrg69104248,14-Mar-07,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,13151,Congressional Committee Materials,S. Hrg. 109-104,109th,S. HRG. 109-104 - LAND EXCHANGE BILLS,Congressional Hearings,CHRG-109shrg23045,11-May-05,Senate,General,NA,Y 4.EN 2
,,,,,,13994,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - EPA'S RESOURCE CONSERVATION CHALLENGE",Congressional Hearings,CHRG-108hhrg93977,20-May-04,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,15792,Congressional Committee Materials,S. Hrg. 108-101,108th,"S. HRG. 108-101 - NOMINATIONS OF JERRY S. BYRD, JUDITH NAN MACALUSO, J. MICHAEL RYAN, III, AND FERN FLANAGAN SADDLER",Congressional Hearings,CHRG-108shrg88679,18-Jun-03,Senate,General,NA,Y 4.G 74/9
,,,,,,6623,Congressional Committee Materials,NA,111th,"JOINT HEARING, 111TH CONGRESS - HOLOCAUST ERA ASSETS--AFTER THE PRAGUE CONFERENCE",Congressional Hearings,CHRG-111jhrg95184,25-May-10,Joint,General,NA,Y 4.SE 2
,,,,,,20992,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - LIMITING THE EXTRATERRITORIAL IMPACT OF TITLE VII OF THE DODD-FRANK ACT",Congressional Hearings,CHRG-112hhrg75072,8-Feb-12,House of Representatives,General,876977,Y 4.F 49/20:112-100
,,,,,,12780,Congressional Committee Materials,S. Hrg. 109-251,109th,"S. HRG. 109-251 - STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS FOR FISCAL YEAR 2006",Congressional Hearings,CHRG-109shrg99878,"May 12, 2005May 26, 2005",Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,8486,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - CAN INTERNET GAMBLING BE EFFECTIVELY REGULATED TO PROTECT CONSUMERS AND THE PAYMENTS SYSTEM?",Congressional Hearings,CHRG-110hhrg37553,8-Jun-07,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,12648,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - FANNIE LOU HAMER, ROSA PARKS, AND CORETTA SCOTT KING VOTING RIGHTS ACT REAUTHORIZATION AND AMENDMENTS ACT OF 2006 (PART I)",Congressional Hearings,CHRG-109hhrg27334,4-May-06,House of Representatives,Authorization,NA,Y 4.J 89/1
,,,,,,9962,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - THE DEPARTMENT OF VETERANS AFFAIRS PROPOSED HEALTH CARE BUDGET AMENDMENT FOR FISCAL YEAR 2006",Congressional Hearings,CHRG-109hhrg22697,21-Jul-05,House of Representatives,General,NA,NA
,,,,,,9418,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE STATE OF HURRICANE RESEARCH AND H.R. 2407, THE NATIONAL HURRICANE RESEARCH INITIATIVE ACT OF 2007",Congressional Hearings,CHRG-110hhrg42964,26-Jun-08,House of Representatives,General,NA,Y 4.SCI 2
,,,,,,8023,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - LEGISLATIVE BRANCH APPROPRIATIONS FOR 2009",Congressional Hearings,CHRG-110hhrg41290,"February 7, 2008February 13, 2008March 5, 2008March 6, 2008March 12, 2008March 13, 2008April 9, 2008April 10, 2008",House of Representatives,Appropriation,NA,Y 4.AP 6/1
,,,,,,7130,Congressional Committee Materials,S. Hrg. 111-704,111th,S. HRG. 111-704 - INVASIVE SPECIES,Congressional Hearings,CHRG-111shrg62181,14-Jul-10,Senate,General,797179,Y 4.EN 2:S.HRG.111-704
,,,,,,6554,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - DOMESTIC MINOR SEX TRAFFICKING",Congressional Hearings,CHRG-111hhrg58250,15-Sep-10,House of Representatives,General,793660,Y 4.J 89/1:111-146
,,,,,,14241,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - INTERNATIONAL CHILD ABDUCTION: THE ABSENCE OF RIGHTS OF ABDUCTED AMERICAN CITIZENS IN SAUDI ARABIA",Congressional Hearings,CHRG-108hhrg89969,9-Jul-03,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,10359,Congressional Committee Materials,S. Hrg. 110-1127,110th,S. HRG. 110-1127 - SWEATSHOP CONDITIONS IN THE CHINESE TOY INDUSTRY,Congressional Hearings,CHRG-110shrg74106,25-Oct-07,Senate,General,871970,Y 4.C 73/7:S.HRG.110-1127
,,,,,,24126,Congressional Committee Materials,S. Hrg. 112-860,112th,S. HRG. 112-860 - UNITED STATES COAST GUARD OPERATIONS IN ALASKA,Congressional Hearings,CHRG-112shrg80814,6-Aug-12,Senate,General,942704,Y 4.AP 6/2:S.HRG.112-860
,,,,,,23202,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - WHERE IS THE PEACE DIVIDEND? EXAMINING THE FINAL REPORT TO CONGRESS OF THE COMMISSION ON WARTIME CONTRACTING",Congressional Hearings,CHRG-112hhrg71983,4-Oct-11,House of Representatives,General,866973,Y 4.G 74/7:112-85
,,,,,,10235,Congressional Committee Materials,S. Hrg. 110-854,110th,S. HRG. 110-854 - FEDERAL RESERVE'S FIRST MONETARY POLICY REPORT FOR 2008,Congressional Hearings,CHRG-110shrg50369,28-Feb-08,Senate,General,NA,Y 4.B 22/3
,,,,,,23920,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - U.S. DEPARTMENT OF JUSTICE CIVIL RIGHTS DIVISION",Congressional Hearings,CHRG-112hhrg66613,1-Jun-11,House of Representatives,General,864623,Y 4.J 89/1:112-61
,,,,,,13307,Congressional Committee Materials,S. Hrg. 109-1079,109th,S. HRG. 109-1079 - FEDERAL RENEWABLE FUELS PROGRAMS,Congressional Hearings,CHRG-109shrg47640,6-Sep-06,Senate,General,NA,Y 4.P 96/10
,,,,,,5998,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - REAUTHORIZATION OF THE FIRE GRANT PROGRAMS",Congressional Hearings,CHRG-111hhrg50661,8-Jul-09,House of Representatives,Authorization,NA,Y 4.SCI 2
,,,,,,23577,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - THE ECONOMIC DEVELOPMENT ADMINISTRATION: HOW TO IMPROVE EFFECTIVENESS THROUGH REFORMS AND CONSOLIDATIONS",Congressional Hearings,CHRG-112hhrg67581,27-Jul-11,House of Representatives,General,859822,Y 4.T 68/2:112-50
,,,,,,24605,Congressional Committee Materials,S. Hrg. 112-902,112th,S. HRG. 112-902 - THE KEY TO AMERICA'S GLOBAL COMPETITIVENESS: A QUALITY EDUCATION,Congressional Hearings,CHRG-112shrg90749,8-Mar-12,Senate,General,937416,Y 4.L 11/4:S.HRG.112-902
,,,,,,12173,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - HEARING ON POLITICAL SPEECH ON THE INTERNET: SHOULD IT BE REGULATED?",Congressional Hearings,CHRG-109hhrg24061,22-Sep-05,House of Representatives,General,NA,Y 4.H 81/3
,,,,,,22055,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - [H.A.S.C. NO. 112-8 ] BUDGET REQUEST FROM THE DEPARTMENT OF THE NAVY",Congressional Hearings,CHRG-112hhrg65108,1-Mar-11,House of Representatives,General,849287,Y 4.AR 5/2 A:2011-2012/8
,,,,,,13916,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - PRESCRIPTION DRUG MONITORING: STRATEGIES TO PROMOTE TREATMENT AND DETER PRESCRIPTION DRUG USE",Congressional Hearings,CHRG-108hhrg92538,4-Mar-04,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,12244,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - THE ECONOMIC AND ENVIRONMENTAL BENEFITS OF NEW WATER STORAGE IN THE SAN JOAQUIN VALLEY",Congressional Hearings,CHRG-109hhrg21760,11-Jun-05,House of Representatives,Oversight,NA,Y 4.R 31/3
,,,,,,5804,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - FULL COMMITTEE MARKUP OF H.R. 3854: THE SMALL BUSINESS FINANCING AND INVESTMENT ACT OF 2009",Congressional Hearings,CHRG-111hhrg52892,21-Oct-09,House of Representatives,Markup,NA,Y 4.SM 1
,,,,,,13348,Congressional Committee Materials,S. Hrg. 109-449,109th,S. HRG. 109-449 - IRAQ IN U.S. FOREIGN POLICY,Congressional Hearings,CHRG-109shrg27403,19-Oct-05,Senate,General,NA,Y 4.F 76/2
,,,,,,5346,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - HEARING ON FMCSA'S PROGRESS IN IMPROVING MEDICAL OVERSIGHT OF COMMERCIAL DRIVERS",Congressional Hearings,CHRG-110hhrg43799,24-Jul-08,House of Representatives,General,NA,Y 4.T 68/2
,,,,,,8473,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - H.R. 698, THE INDUSTRIAL BANK HOLDING COMPANY ACT OF 2007",Congressional Hearings,CHRG-110hhrg36820,25-Apr-07,House of Representatives,General,NA,Y 4.F 49/20
,,,,,,5450,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - WESTERN HEMISPHERE DRUG POLICY COMMISSION ACT OF 2009",Congressional Hearings,CHRG-111hhrg52854,15-Oct-09,House of Representatives,Markup,NA,Y 4.F 76/1
,,,,,,11229,Congressional Committee Materials,S. Hrg. 110-223,110th,S. HRG. 110-223 - ACCESS TO VA HEALTH CARE AND BENEFITS IN HAWAII,Congressional Hearings,CHRG-110shrg38961,"August 21, 2007August 23, 2007August 27, 2007",Senate,General,NA,Y 4.V 64/4
,,,,,,23231,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - WHAT THE EURO CRISIS MEANS FOR TAXPAYERS AND THE U.S. ECONOMY, PART I",Congressional Hearings,CHRG-112hhrg72799,15-Dec-11,House of Representatives,General,867267,Y 4.G 74/7:112-97
,,,,,,5652,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - REVIEW OF THE USE OF COMMITTEE FUNDS IN THE FIRST SESSION OF THE 111TH CONGRESS (CONTINUED)",Congressional Hearings,CHRG-111hhrg55537,3-Feb-10,House of Representatives,General,695629,Y 4.H 81/3:F 96/10
,,,,,,22594,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - MONETARY POLICY AND THE STATE OF THE ECONOMY",Congressional Hearings,CHRG-112hhrg76116,18-Jul-12,House of Representatives,General,896360,Y 4.F 49/20:112-145
,,,,,,10778,Congressional Committee Materials,S. Hrg. 110-24,110th,S. HRG. 110-24 - HEALTH CARE COVERAGE AND ACCESS: CHALLENGES AND OPPORTUNITIES,Congressional Hearings,CHRG-110shrg32571,10-Jan-07,Senate,General,NA,Y 4.L 11/4
,,,,,,15672,Congressional Committee Materials,S. Hrg. 108-165,108th,S. HRG. 108-165 - IRAQ STABILIZATION AND RECONSTRUCTION: INTERNATIONAL CONTRIBUTIONS AND RESOURCES,Congressional Hearings,CHRG-108shrg89517,4-Jun-03,Senate,General,NA,Y 4.F 76/2
,,,,,,22412,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - THE FLSCAL YEAR 2013 EPA BUDGET",Congressional Hearings,CHRG-112hhrg79437,28-Feb-12,House of Representatives,General,896317,NA
,,,,,,10475,Congressional Committee Materials,S. Hrg. 110-52,110th,S. HRG. 110-52 - ECONOMICS OF CLIMATE CHANGE,Congressional Hearings,CHRG-110shrg35906,13-Feb-07,Senate,General,NA,Y 4.EN 2
,,,,,,5852,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - CONTINUING PROBLEMS IN USDA'S ENFORCEMENT OF THE HUMANE METHODS OF SLAUGHTER ACT",Congressional Hearings,CHRG-111hhrg65127,4-Mar-10,House of Representatives,General,826873,Y 4.G 74/7:111-136
,,,,,,5655,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - OVERSIGHT OF THE CLERK, SERGEANT AT ARMS, CHIEF ADMINISTRATIVE OFFICER, AND INSPECTOR GENERAL OF THE HOUSE OF REPRESENTATIVES",Congressional Hearings,CHRG-111hhrg57844,28-Apr-10,House of Representatives,General,776544,Y 4.H 81/3:OV 2/3
,,,,,,9252,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - EPA'S NEW OZONE STANDARDS",Congressional Hearings,CHRG-110hhrg47126,20-May-08,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,5699,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - H.R. 2523, ``HELPING EXPEDITE AND ADVANCE RESPONSIBLE TRIBAL HOMEOWNERSHIP ACT OR THE HEARTH ACT''",Congressional Hearings,CHRG-111hhrg52940,21-Oct-09,House of Representatives,General,NA,Y 4.R 31/3
,,,,,,25361,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - LOST EDUCATIONAL OPPORTUNITIES IN ALTERNATIVE SETTINGS",Congressional Hearings,CHRG-111hhrg47722,12-Mar-09,House of Representatives,General,NA,"Y 4.2Y 4.ED 8/1"
,,,,,,22541,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - THE STATE OF MANUFACTURED HOUSING",Congressional Hearings,CHRG-112hhrg72627,29-Nov-11,House of Representatives,Field,873107,Y 4.F 49/20:112-86
,,,,,,23345,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - A REVIEW OF NASA'S SPACE LAUNCH SYSTEM",Congressional Hearings,CHRG-112hhrg67253,12-Jul-11,House of Representatives,General,870717,Y 4.SCI 2:112-29
,,,,,,14967,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - TERRORIST THREAT INTEGRATION CENTER (TTIC) AND ITS RELATIONSHIP WITH THE DEPARTMENTS OF JUSTICE AND HOMELAND SECURITY",Congressional Hearings,CHRG-108hhrg88544,22-Jul-03,House of Representatives,General,NA,"Y 4.J 89/1Y 4.H 75"
,,,,,,9972,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - ENFORCEMENT OF THE FAIR HOUSING ACT OF 1968",Congressional Hearings,CHRG-110hhrg42850,12-Jun-08,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,9148,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - WILL NIEHS' NEW PRIORITIES PROTECT PUBLIC HEALTH?",Congressional Hearings,CHRG-110hhrg44007,25-Sep-07,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,5663,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE BP TEXAS CITY DISASTER AND WORKER SAFETY",Congressional Hearings,CHRG-110hhrg33902,22-Mar-07,House of Representatives,General,NA,Y 4.ED 8/1
,,,,,,10011,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - SUNSHINE IN LITIGATION ACT OF 2008",Congressional Hearings,CHRG-110hhrg43831,31-Jul-08,House of Representatives,General,NA,Y 4.J 89/1
